,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'NDTV News'}",,Elon Musk Says He Supports Cryptocurrencies In Battle With Fiat Money - NDTV,"Tesla Inc Chief Executive Officer Elon Musk tweeted on Saturday that in a battle between fiat and cryptocurrencies, his support is with crypto.",https://www.ndtv.com/world-news/elon-musk-says-he-supports-cryptocurrencies-in-battle-with-fiat-money-2447444,https://c.ndtvimg.com/2021-05/37930geg_elon-musk_625x300_21_May_21.jpg,2021-05-22T14:42:41Z,"Two days ago, Elon Musk assured that he has not sold any of his dogecoin holdings and will not sell any
Tesla Inc Chief Executive Officer Elon Musk tweeted on Saturday that in a battle between fiat … [+1341 chars]"
1,"{'id': 'google-news', 'name': 'Google News'}",,Indian Govt & Pfizer at loggerheads over COVID-19 vaccine indemnity demand | English World News - WION,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9NTI2c05LU1hqU1HSAQA?oc=5,,2021-05-22T13:52:34Z,
2,"{'id': 'google-news', 'name': 'Google News'}",,4.5 million passengers affected in massive cyber attack on Air India | Latest English News | World - WION,,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9RjJLQUxKdW1qVlnSAQA?oc=5,,2021-05-22T13:40:45Z,
3,"{'id': None, 'name': 'Moneycontrol'}",,"Gold outlook: Precious metal heads towards Rs 50,000 per 10 gram; money managers raise net long positions - Moneycontrol.com","The yellow metal dropped in three out of five trading sessions on the MCX and ended the week with a gain of Rs 728. COMEX gold, on the other hand, rose $38 or 2.06 percent during the same period.",https://www.moneycontrol.com/news/business/commodities/gold-outlook-precious-metal-heads-towards-rs-50000-per-10-gram-rises-1-53-this-week-money-managers-raise-net-long-positions-6925681.html,https://images.moneycontrol.com/static-mcnews/2018/02/jewellery_720-770x433.jpg,2021-05-22T13:01:52Z,"Gold prices jumped by 1.53 percent during the week to settle at Rs 48,404 per 10 gram on choppy trading, a weak dollar and benchmark yields. However, rupee appreciation capped the upside. The yellow … [+6511 chars]"
4,"{'id': None, 'name': 'Equity Bulls'}",,Amber Enterprises India Ltd Q4FY21 consolidated net profit zooms to Rs. 75.45 crore - Equity Bulls,"Amber Enterprises India Ltd has reported financial results for the period ended March 31, 2021.<BR><BR><B>Financial Results (Q4 FY20-21) - QoQ Comparison</B><BR><BR>The company has reported total income of Rs.1606.89 crores during the perio",https://www.equitybulls.com/admin/news2006/news_det.asp?id=289132,https://equitybulls.com/images/News-By-EquityBulls.jpg,2021-05-22T11:43:18Z,"Amber Enterprises India Ltd has reported financial results for the period ended March 31, 2021.
Financial Results (Q4 FY20-21) - QoQ Comparison
The company has reported total income of Rs.1606.89 c… [+1926 chars]"
5,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,Axis Bank awaiting nod to reclassify 3 promoters as public shareholders - Economic Times,"The three entities held 0.03 per cent, 0.02 per cent and 0.69 per cent stake, respectively in Axis Bank as on March 31, 2021.",https://economictimes.indiatimes.com/markets/stocks/news/axis-bank-awaiting-nod-to-reclassify-3-promoters-as-public-shareholders/articleshow/82857462.cms,"https://img.etimg.com/thumb/msid-82857442,width-1070,height-580,imgsize-7755,overlay-etmarkets/photo.jpg",2021-05-22T11:12:00Z,"NEW DELHI: Private sector on Saturday said three promoters United India Insurance Company, National Insurance Company and Company will be reclassified as public category shareholders post requisite r… [+1080 chars]"
6,"{'id': 'business-insider', 'name': 'Business Insider'}",Shalini Nagarajan,"Elon Musk is like the Fed of crypto - but he was forced to ditch bitcoin payments for Tesla to avoid pressure from environmentalists, a private-equity CEO says - Markets Insider",Eric Schiffer says the last thing Tesla needs is to not be included on ESG lists because bitcoin is a big portion of its business.,https://markets.businessinsider.com/currencies/news/elon-musk-bitcoin-forced-ditch-tesla-payment-environment-pressure-investment-2021-5-1030456764,https://images2.markets.businessinsider.com/60a66a02f27b4c0019445949?format=jpeg,2021-05-22T11:00:42Z,"Axel Springer
Elon Musk's association with cryptocurrencies arises from his early days in working within the digital payments' industry as part of the ""PayPal Mafia,"" according to Eric Schiffer, the… [+2683 chars]"
7,"{'id': None, 'name': 'Moneycontrol'}",,JK Lakshmi Cement Q4 net profit jumps 61% to Rs 159 crore - Moneycontrol.com,"For the fiscal year 2020-21, JK Lakshmi Cement's net profit climbed 66.49 percent to Rs 421.12 crore. It was Rs 252.94 crore in the previous year.",https://www.moneycontrol.com/news/business/earnings/jk-lakshmi-cement-q4-net-profit-jumps-61-to-rs-159-crore-6925661.html,https://images.moneycontrol.com/static-mcnews/2021/05/cement_bag-770x433.jpg,2021-05-22T10:09:29Z,"JK Lakshmi Cement on Thursday reported a 61.34 percent increase in consolidated net profit to Rs 159.13 crore for the fourth quarter ended March 2021, helped by higher volumes and improved cost effic… [+1446 chars]"
8,"{'id': None, 'name': 'CarToq.com'}",Paarth Khatri,7 NEW Volkswagen & Skoda Cars Launching In 2021 - CarToq.com,"Volkswagen and Skoda have a new strategy for our market. It is known as INDIA 2.0 strategy. Both the manufacturers are working on a slew of launches for the Indian market. Today, we list down five cars that Volkswagen and Skoda will be launching this year. Sk…",https://www.cartoq.com/new-volkswagen-skoda-cars-launching-2021/,https://www.cartoq.com/wp-content/uploads/2021/05/upcoming-volkswagen-skoda-cars-featured-1019x530.jpg,2021-05-22T10:08:53Z,"Volkswagen and Skoda have a new strategy for our market. It is known as INDIA 2.0 strategy. Both the manufacturers are working on a slew of launches for the Indian market. Today, we list down five ca… [+3829 chars]"
9,"{'id': None, 'name': 'Livemint'}",Nasrin Sultana,"FTSE includes Gland Pharma, IRFC in All World index - Mint",India is expected to see net inflows of around $800 million in existing names as FTSE will also implement the final tranche of India FOL changes,https://www.livemint.com/companies/news/ftse-includes-gland-pharma-irfc-in-all-world-index-11621676402166.html,https://images.livemint.com/img/2021/05/22/600x338/stock-kpeE--621x414@LiveMint_1621677199075.jpg,2021-05-22T09:54:25Z,MUMBAI: FTSE has included newly listed stocks Gland Pharma and Indian Railway Finance Corporation (IRFC) in its All World index as part of its quarterly rebalancing review released on Saturday. FTSE … [+2473 chars]
